1c243b 	9bde9e
841a3a 	205d07
3cc842 	de84c9
a3cdab 	bcad94
17e4c2 	d2f001
d10df2 	658904
8c6e6a 	61a6c4
4899dc 	4463f0
e10bc6 	e3b11f
8d98ff 	7bdc65
c4cf44 	4a5259
82161a 	3b2b14
7da524 	b1f24c
494d88 	b4dc40
898ca0 	87fb83
6a9751 	a3a6ce
c98453 	8e5d89
f60b45 	8f03a4
c362c5 	24b9fc
d132bd 	8bcac2
8c8d59 	eb462a
fb885b 	3627c0
cc6179 	c87778
963279 	35ddf8
819a39 	7e7231
1573ee 	52f1f7
d802d0 	3ec764
36f498 	b37b13
6c9e4a 	1f3e98
8869d2 	c1b0f1
ccb314 	bc8d63
e7dd4b 	33ee28
b5d5af 	3d38be
88ad55 	fc0a2f
d41c89 	a31099
a43487 	daa415
20721d 	975eba
7690a3 	cd5459
8213eb 	98afc0
1031a9 	65d76b
c30f0c 	06235f
d8ccfd 	a45017
7c640d 	9156f6
5a7328 	5ca8c2
bda7d6 	5b73bd
fdb796 	6d6828
4cf518 	688181
186544 	3aac06
b5e54a 	2c2ce3
a891ad 	6aaeaa
6cc0fc 	c849d5
57ca2a 	bcdd06
b505ea 	082c11
87a63d 	33d991
439a70 	3cc606
1bfe77 	38ed80
d12f5f 	f1d0f2
2c1e08 	909c25
423f53 	9d6307
710435 	364477
2dd76f 	e1cb07
bbb7e9 	43b49b
07d335 	024788
14cc3d 	1a342f
7065fe 	4fe5f4
c0764a 	3ed47d
c26792 	b803ec
e21fb6 	94d322
33ca9c 	54d0b9
6ac9e3 	8c8ded
8dfb8d 	5de89f
68cece 	2df7d3
bd7f2f 	334122
990707 	c27b4c
7ffd9c 	54dad8
da523a 	054a77
8fe0f4 	4bf1e7
55998e 	3b4820
ced6a8 	25dbcb
042f77 	d8481d
877657 	0fe67b
7a39c8 	d2bbe1
a3cacc 	780eca
c3d6dd 	22a5ec
c6e826 	4a5bf8
9af8c3 	bd415b
ca8b3f 	e1eb13
e6ef4b 	f684bc
8bb7b7 	1e414c
acb630 	43d7ad
dce8da 	90367e
bcb293 	475bd1
875bd0 	1f4c32
878f15 	e653ff
56b8c4 	f41ef3
1d8656 	fe4f40
9f4b87 	e010a5
a8b580 	fa3eb8
47f865 	4f11e6
5d8c85 	14a089
9c1462 	455719
556b60 	f6aba0
a27677 	54480d
ad2431 	29dfe9
a1b04e 	a49354
622280 	2741b9
8d5617 	beb114
3ec4ec 	4c44af
9c6299 	436403
4ade6f 	bea9a6
2fb7a0 	827ca0
c32b60 	9b0030
b05d24 	3c4004
499196 	3daad4
2f2e44 	61bdf4
fbcc65 	503542
167e80 	313dd6
e50492 	4fce2a
72ca10 	fac28a
4d7475 	ec96dc
a1be0d 	32461f
f4d50a 	f1224a
eb546b 	b78c32
54a3cb 	83be8f
3e35b5 	a4e05f
3e25f3 	2a4348
972b9e 	f76f20
ca6c4b 	3af108
d2d049 	36b8e7
3f2b1d 	9bf578
83de62 	f4040b
d15b40 	d66815
4ba28c 	e7d051
30e124 	43b3f7
5dd1da 	bc0ca7
5c8b28 	e2460f
8d1c1c 	36c356
8e00bb 	0963fd
cceb9c 	666b10
5751eb 	ea0be9
7c8b97 	138337
e83c94 	eb27cb
87d5c0 	df728a
9bab3d 	06e074
34cbd6 	fe2e6c
f08f5d 	4a0abc
bf2aed 	d6b574
0cc27b 	68d18d
9d298f 	a40979
516097 	e973d8
92946e 	c8f444
4764b6 	e88056
c63bac 	c25498
0c4eee 	335c7b
ed48f4 	0fc900
08d916 	e9f14c
5680d5 	14cac4
3141e0 	f79e87
69c1c6 	b9a234
07d369 	259c9c
5f786f 	c432e6
886f85 	14f7cf
c1f96c 	4dcb51
1237b1 	51622a
855bcb 	7bb412
5a266e 	129c32
db875a 	25cd2f
911f50 	17da31
499f87 	66ad0e
9647b7 	180955
3543b7 	f6902d
7d9b26 	eb2da7
cbcd57 	88a45d
fc5649 	e67d6c
f28788 	07a216
6e22f1 	72102b
0f840e 	7a42fd
c9668b 	1017aa
814234 	d96943
85d0bc 	9cb1b4
3c1198 	de8d85
32e1f6 	c0d16b
ade045 	950bbb
1edb6a 	4d2711
fd0644 	141816
cf73c4 	60f4e9
a7f27d 	7ab0ac
660959 	593e42
ceae7a 	9b2028
09cc75 	ec5555
a79422 	022e5f
36dcba 	b51e15
2bb472 	db18d0
ab68ce 	9eb1f1
fd20a7 	2fafb2
b89a5d 	7db45f
6b33e4 	f20d53
a0aa03 	dda4e7
b203a9 	aa3d2b
2ca618 	3c46a1
4459e2 	e290b0
7dc66c 	8246d4
d3662e 	f929bc
929c57 	72c5dd
390615 	ecf154
952873 	3d058a
a93e27 	6d24ac
96aeca 	9b5dc4
280247 	a55a1c
790648 	a7cc32
8a669d 	7d938f
1738ad 	32b77e
0b0752 	8d473c
7a9387 	7f3378
084185 	a8fcbb
8b1562 	54dcd5
f8d4a0 	56821d
527065 	22d821
affc4e 	b386ba
00b3d6 	83668b
6700a4 	aa6ff0
6d68aa 	7baa11
5701dc 	f07c7e
af2c1e 	74832a
d635d8 	fa4044
61997f 	63d7da
898462 	e03702
0aed83 	998dde
9b3c3c 	a3a068
e7f939 	ecb6a8
665fc5 	138d57
848299 	9e999e
454443 	b82b47
c5b106 	9fa9c8
d8d6e7 	406f1b
430b31 	d6ae20
fe0a59 	8c8abd
31b6dd 	c7a57d
2afe76 	697c33
5d8b56 	78936e
2b4e3a 	9a7eaf
8ffa15 	46bd9f
7966d7 	e9ba1e
b90a91 	e11a4d
15735e 	f48068
7c8064 	a84036
989c36 	f7ae62
76748f 	f24f9f
61bdc5 	a88014
b10934 	985d52
c4eaf9 	c34fc3
1f1faf 	d77ff1
114d49 	418dac
f167ce 	c676ac
224144 	43b319
608532 	8182fd
47adee 	d6f1fe
c467af 	973c10
d154a4 	a9dab8
7909c1 	c475b5
129602 	bd9ac0
e42acd 	5db059
62d4c4 	be4527
104434 	9df91b
40dd00 	e61f4e
40c4ab 	ae45c5
d588ca 	73b144
df6ce9 	f47ba4
fec0fc 	fe70fb
fcfd84 	e1af56
853573 	f2d1d9
da40dc 	71c25d
179df1 	26d019
34bf92 	3c33ee
9959fc 	1d7371
3977e7 	d2fb6c
77df2d 	e79089
9011ee 	66e805
97b2a1 	122c6a
4d0f77 	4e17f5
2bc2d0 	78c57d
6f3da1 	868f53
9da77d 	cc7b7b
8a8e3f 	7146cb
35bffb 	93cc44
eec8b8 	330ddb
0c707d 	ca4e14
feefd8 	edf53a
b472c6 	602489
5af161 	cd67c9
17792b 	d22c32
ab00af 	a14762
334737 	e9a66f
f12be4 	021e6f
27a3f4 	6d12e3
d3caea 	ae408f
d3f14c 	b7cd2e
03436d 	9f1b45
0dc9d4 	6db5f9
7c2e34 	151caa
1a55de 	b0fa36
21322b 	e5821c
32e6bb 	bd517a
b43bd0 	0ac298
644f67 	d4bb67
04740b 	1723bc
e228fd 	bcb92d
8b4035 	7f7790
c0bb42 	92da82
c689c1 	c27e90
b91663 	08b869
0a2793 	1d1855
fcf992 	a21f4f
ab55aa 	f66d3a
e092ed 	481bcc
a9a02f 	3f3c04
e7008e 	30bb13
65eb55 	ef51bc
c7017c 	91036d
60924a 	11bb6a
3a75a4 	7ad8d5
fcddde 	08907e
9674c8 	6c2d4f
04062e 	eaf5b0
d1e6ef 	c8d209
89965e 	657204
e28a79 	1f6232
db7477 	915ac3
c71c9f 	792b9e
106701 	27de84
d88a68 	f4bc56
884735 	180667
026fcd 	893485
58f161 	7e3128
af4d10 	2bb793
804453 	8c38f2
024c64 	988739
2f718d 	48447a
57f43f 	19e0bf
8ad095 	9038da
122c5b 	29ea0f
01dd54 	705c12
329b0b 	16d542
3d319d 	b9f210
55bfdd 	3cef44
6224ed 	4b373e
5529ce 	28076d
40b64e 	6cd82c
5bc369 	d6e4e9
d96a89 	69ec07
118bfc 	6074cf
7d95a0 	61ba67
ef99a5 	cf02c8
8cacc6 	d5c031
94ac0b 	20d068
8ecc7f 	fed0f0
645d3b 	b98047
4f319c 	15f840
2a1d17 	36be09
cc57f3 	0b3d4d
0c553d 	77e2d7
50605c 	260b3e
1f0eef 	e815c2
bff3b2 	187f5a
8211ea 	f365e8
f7dc46 	9899e1
e07a65 	75d4e5
5e81fa 	fe0232
da0297 	475d81
8b1c0d 	b535e7
2a5517 	c2e109
fa0bba 	2e8657
8b38e5 	e23938
c78e78 	c4439f
57851e 	910e0a
8f73e5 	3c11e6
8e6372 	6b95d6
6d92ca 	3f9d98
9e2613 	d6c148
76f8c1 	70adce
c1229e 	dfa701
3aa7c4 	214872
c95e5c 	c04b5e
4755a9 	0f0d1a
4a70b3 	2e1ec9
dea7cb 	cb5380
ab3227 	9b548b
e16988 	f83d22
4797ee 	594639
25bff6 	48c346
c44b00 	38a1d5
aef34a 	08bb74
01b76d 	8ba09f
dcffe5 	74cb9f
1d75dc 	81882b
9213fc 	157b27
40b338 	bfc9b0
ff720b 	cf9467
f319e6 	8bf08f
7428a9 	a004da
3d38f1 	7cb23c
45bae8 	d02241
59dc4b 	3a54d9
70f8b1 	33cc3c
6bd0ca 	233b2e
36f992 	1c3198
b13cb3 	7b536c
6c2fd7 	629b82
ee3276 	1777d3
00e79e 	017b8b
c9ccc8 	62e4ce
11903c 	17044f
56f44d 	c65a49
a606bf 	0d59af
794f28 	30091e
4ba506 	f6d922
a4acea 	e9a796
d6c281 	93dd98
accf85 	0c456c
147cd5 	338842
590dd4 	cad01f
32e26d 	5d3fd0
4bcb59 	021423
53fe64 	cbac29
24e5ca 	c45c51
f1eddb 	6ed534
58486c 	d38106
cca3ac 	e8ccaf
6b4cb3 	faf36c
91e610 	ffbee6
d3d58f 	c1dc41
00415e 	f57c9a
e32918 	1df0fb
679366 	2abb63
4136ab 	b52a4f
a053d1 	355c07
8739fe 	c4613a
b9a188 	14e23d
c70512 	9109e1
bd3a2b 	8bced9
a1e942 	26f6b4
07cb0d 	75e554
e124b3 	df9a2f
405a57 	47a47b
d5c17c 	58c86e
bb7b8c 	71b662
49b188 	7a1efa
f8c348 	04ab69
cb07f8 	9ec73e
b84f2b 	6f3a48
1738a2 	12b77f
0b18c6 	23a911
4da785 	ddf16a
4aa4b4 	e3300d
4b8c13 	017334
439633 	70e95c
1d9fe2 	80f6b9
9b91b1 	4c58f2
837cd8 	3de29a
5291ce 	6ea85d
0dc58a 	684377
52a5ed 	b47177
121f66 	bcd320
369a38 	752557
df2222 	4fdd05
967217 	0debe1
5f4077 	c64de0
49d33e 	9ab4fa
6f5d38 	6d9541
f93b79 	acb7a2
989b5b 	10ac4c
5f81af 	683f1b
faa642 	f22628
9b672d 	9fae65
6ee41c 	428619
f7d8f8 	f2638a
07c235 	b764d3
3d5b05 	55c4c8
a35d36 	8d352a
d72780 	de0284
02408c 	697f1a
ae2a30 	ab75c6
0b1847 	21ccce
a7f650 	17c6b3
9b8f60 	0184b6
324ce9 	c2b2ee
7bd9f1 	8f8656
a37e92 	4386e4
248687 	205946
893aaf 	0d3da2
12ef78 	572f3c
3ab7a3 	793dd5
433ae4 	86ddd8
cca9ad 	d32797
4d5909 	af4edb
2191a2 	032854
379a0a 	bbf1b0
c9fed4 	87be17
920276 	8c0096
aae92a 	fb848e
f7cf5b 	b32110
f89665 	dc99c8
326b93 	e19ec5
87bbee 	d4f639
58bc54 	2c9d63
49ca2c 	43800a
2718f2 	10f2b9
4fa1a9 	05ba40
cef04d 	26ffe1
f58a81 	a0f155
2e7024 	210ef3
e1e857 	a00ad8
6a36a9 	98bbc6
a6a54b 	1e1631
ecb3b7 	5af506
3bec56 	fccd54
6ca261 	470196
365eca 	9d4f86
cd5463 	395eb9
72c62d 	c67c4a
363c43 	b4ef94
8a0ac1 	7f6f75
7988c1 	218efd
76583b 	055fba
c51239 	5bb896
5797ea 	4dd025
18296b 	8f5bf4
30f507 	e83a4c
6b54ed 	978738
6363d4 	9f3c19
3c6d07 	b05e3a
8308cd 	49e7b9
03f5b8 	aeff47
7370f3 	6e35b6
c4f3e4 	44ac10
1e636c 	e68e12
4a719b 	097da9
c7883c 	cfd53d
8ef343 	5deb44
3b3f81 	ce13dc
86fa1e 	743e18
07c2f1 	55ed11
258c64 	1ce34a
cd7d1a 	7c1906
7e5373 	973c40
895004 	500d9b
57f5fd 	b524bc
1f5354 	e78c10
99f5c9 	8c026e
dbc25d 	27f186
4f1737 	ec22d6
c96366 	80dcbd
a6d218 	0990fa
cf879f 	46d646
6a5718 	e4881c
b545fe 	527f3c
d9be68 	ef14e5
c98872 	a4d174
b608cf 	fd816d
1f0f64 	220969
2a9bc1 	283556
ff61f9 	a9c473
e0f0f2 	02168f
86cc4f 	e427ce
3cbeca 	954689
22f8df 	beaff5
ff5ff5 	c42af8
994ff5 	44a915
e2cd59 	eff8e9
8617d1 	758474
8eb272 	e42315
b8c397 	5c046c
7c7569 	1cbda8
4a4d17 	03f019
6de1d9 	807d25
aea666 	6e8d12
257ca1 	3ff266
70af41 	7c7ff2
4040e5 	ab41fb
f9f549 	5832d8
97a453 	ade80f
1dcff9 	d3043b
f9bdc9 	ec9043
6def1d 	21935b
bed689 	ddc905
948d12 	7ab9a0
93a73f 	a80c66
67fe74 	69668b
473c7e 	ce4cd7
fe6c3e 	ebe005
347866 	e55ad8
ab8819 	02af9d
411b67 	0eaf58
9695b5 	f57278
b57466 	6f2a92
ea0b22 	293a5f
ac4956 	8082ee
386a8f 	2d9144
4f1faf 	699cf7
917318 	548ffc
efb574 	11110b
56b069 	6b402a
584243 	6f0e95
49f42e 	3239f2
9fbacd 	8c0b99
d6e6b5 	418dd8
f65547 	6aa7bb
de22d5 	ce18e0
a861d2 	5d42cf
5d2a7e 	fac8af
612916 	0a6f32
47f972 	357e4a
4fa203 	6051c9
cd7601 	9f1eb8
b52958 	ec5409
ccaef0 	d5778e
bc531a 	0a6e2d
c03145 	452dec
8a858c 	643c1e
6fd1e8 	2f7865
03a4b2 	9ee41e
601cb5 	1d703a
a04165 	d0fcbe
1f542c 	b456eb
37f1d8 	9180ba
9e3475 	c3c837
c5e836 	6ebf48
263df2 	524ad3
b5b6a7 	694b07
436100 	b8bf8a
5c7f53 	9be877
65a1f2 	0bdd25
80c99c 	238ac8
e79c2d 	2d96d3
284bff 	d45abf
c996e1 	5c40e9
ce22a5 	83419b
28460d 	f52fc7
d25f3a 	e9a5f6
20cf10 	cb9df0
693ffd 	f06951
3de5dd 	330d22
b2e7b4 	4acd68
3bdd87 	9fab49
58f92c 	8f8e5d
b3bad1 	6a340c
bcf7cc 	73f4ad
67b136 	7ffbf9
e9f589 	1db5ff
13be2f 	d1189b
1239e6 	b74777
c68a0f 	285a41
486a3c 	b0f027
8e69fe 	2ab118
dd507b 	62837c
e4e064 	1df976
4773e2 	595083
6e0f04 	22ff67
eab209 	a148bf
0fa354 	6a3bd0
12b14a 	d703b4
8c9be8 	bcf8aa
457a3d 	1f6797
836e57 	f74033
e502eb 	473b53
6e0571 	fe2ae0
8ee893 	d45da2
b06bd1 	f292dc
c20e20 	ef08ab
6fb63d 	38e2af
3fe33c 	a07937
2ea75e 	3aeab2
48b77f 	2989c6
d4281b 	f5392e
f7efac 	29425d
38bd20 	1add5e
3823dc 	344786
4748f4 	5091e1
bf1de1 	6e8c64
589440 	57ca9b
643ee0 	d1cd70
eecea0 	0ce772
409845 	cc7096
afd373 	3d6e52
07888e 	d746bf
3406c8 	0d3433
dc8d41 	617e84
8af245 	5ac14a
cc4b99 	6eae94
dc2503 	8e03e2
a29296 	bd9f7d
e00bc6 	341c90
139db9 	14e0d2
b41df8 	1a878a
4968c9 	ecac01
cd1b4a 	7da4f6
d86a47 	f14b79
4f332e 	a0c297
484ed0 	ba4c74
c6346b 	8afa40
468e56 	931e72
8dce02 	016c9b
2c829b 	c48a8f
5dc9ae 	4b458c
7047ee 	f5d47f
52bc4e 	5ab83b
a880ad 	aff78b
1650b2 	debd03
f160c8 	8aa34f
fe4729 	5e4979
8b7c82 	c5b0e6
d1dcce 	4de135
ee6560 	4da642
417470 	d49e8d
7d09c9 	3ae5e3
cdbc71 	7761e1
cd2fc5 	dd0b01
ef637f 	601f12
b03b3c 	7b4923
58392e 	70bf66
4053c9 	b8d2de
f2f8e0 	a2111d
fc6598 	3e8044
6f383d 	412130
90420e 	38de7d
62c28f 	071d46
1a244f 	e0ea71
0f4efa 	ca3ef9
13aaaa 	f6cb1d
544968 	e1bd9b
b88778 	a7ea83
476f19 	d422b5
3aa21c 	1384ac
653dc2 	b78b27
1a52ff 	7ff53d
9ae577 	8834e9
a93785 	52639c
12efb6 	79b0d6
870301 	dcda07
401e2c 	acb2d7
f5b8c5 	7c7696
25f9d1 	a094f0
b44ad6 	233008
ace844 	184737
bd1f99 	98754b
946099 	e08401
12f370 	e3be8e
c30054 	6c62e4
1affd2 	45b942
7d650f 	5277ca
c7e1b4 	5e5ae3
e35366 	9c1aaa
bcba33 	b72313
2afe82 	69b96f
2a3b14 	8b2b9b
d8f9c2 	e70b94
012ce5 	a1c042
acd39a 	e3ea0f
4a51cc 	7faa62
9a78c9 	00a918
5ef08f 	5c002d
870be5 	dd0c6c
55cae8 	364a35
959102 	7ba17b
ec8c34 	af07f2
da6e64 	1d1490
87aa3d 	0d7f9d
a77110 	9372bf
fa9314 	d1f4fd
8feacb 	aced74
9e3b16 	51352e
979e64 	240b35
614840 	f98d96
0a52b8 	cbc56d
e74c7b 	2e8cfd
df4b01 	1d1c51
d25d5c 	fbc62e
c14628 	8c51cb
37ad87 	6e20fd
c18e76 	40970d
0fdd43 	11f1ac
572758 	3a1615
bc0e45 	c6cb65
a7475e 	702aa5
65a64d 	064876
9b24e6 	879277
331c6f 	0cfa3e
00e2dd 	f19981
c32c7b 	97c504
d3b91a 	e32220
63f1dc 	570867
4a33f1 	a6613d
5fe35e 	7c2384
0a75aa 	9558d4
2df0ab 	49e9f0
83c338 	c11543
4db5ed 	8123a4
5fed92 	57d0d4
a84e7f 	1b02bd
73e80a 	ecd838
daaa08 	c58ed7
b69a54 	0a9adb
f187bf 	fd24e6
f43078 	ad1c7d
dca1ac 	3a3c8d
d88280 	af4eb0
b90ac8 	cf5a36
822fa1 	a9d949
04cc36 	1a7056
539eee 	ccc2ff
f06097 	4c202b
66ee62 	eb9388
2cdae9 	140bae
fc5a16 	475f9b
c384b9 	b8d453
6de189 	b8323f
77f2f4 	2636f8
2c6b8a 	08a327
2d41c4 	803ce0
82533f 	2853d3
97853d 	ed041d
74db3d 	f6572e
ff8eab 	469d75
2f84b2 	16b675
b63cfd 	74c0ef
911bc1 	72e66f
87ef3e 	770d5f
5f2d02 	3016b4
b50542 	ada2f3
f9ff5d 	0bd663
7a66d9 	2d1e0d
4fb7db 	7478b4
9cb283 	5139a7
1d7838 	228dee
3bf717 	5f448c
cd5e52 	0bf454
328c8c 	147245
e0febb 	4a9864
88cabe 	657d49
6d8287 	9a106b
72f431 	8776df
bd8fce 	36bf57
3d5e08 	f7722e
e0b502 	d12363
3cf241 	44718c
5a7692 	bdd0fb
bbce0e 	450f6c
a584c3 	5ef9c2
266405 	20d002
ff72e0 	dc6c27
4f26ec 	35f4b4
8b9294 	35cd7f
97f81f 	32af78
b0a74d 	b80c8d
93ec3c 	67606a
0386e3 	baa331
c89446 	74df1b
dd7523 	07eb20
20c0ab 	268d29
1697e6 	24d428
81f3d5 	54f15b
2aa56b 	ea8da2
809a0d 	11ff93
596190 	0e71c5
e06147 	66ea1f
15c9a3 	1395bf
3dbff4 	fc4260
f934b2 	76605c
2b7981 	10b5b8
f36c6e 	217fd7
39328e 	5f62b7
297cfd 	31cfbc
693bc4 	b8ee66
820b53 	1b9c20
1888a2 	d3d817
c4aa45 	04db56
862b40 	deba1a
0f266b 	eaf0f5
a21ae1 	cf3bbb
a27560 	5627fb
a1776b 	431212
eb0c34 	4817b1
be59ae 	8a68ca
0b810c 	57a646
4100a9 	c42166
6326ed 	b91f19
7ca357 	f788d0
e6525c 	4f4b98
2ad571 	6b1154
b10d13 	0a72fa
eabfbb 	4b8ebf
b9f53e 	d10d42
2529dc 	4c8f26
7728aa 	33a8ee
bde7c8 	701484
59d9cb 	da5708
36e0f6 	d79683
91e4b4 	20a84f
0087b2 	8f4b55
80543d 	6b8292
9bd069 	e1f7fa
6aa00b 	1d994b
562d3e 	c2bb88
22177c 	298525
441d26 	731536
da4c63 	49fbce
9aa768 	c98840
1aac89 	834250
2ea004 	2ca5f1
14bc9e 	e8752e
17981f 	a158fb
6fa76a 	7941d7
3aab81 	7e19dc
992a17 	0acbc7
15ef64 	c3973b
ec71f7 	da5086
d90ad0 	2c65c1
887d5e 	9278b9
5e9ca7 	b1039d
d53daa 	45a87e
a8128b 	cfb554
40b8b1 	f7a821
fed670 	93eab5
7be2b1 	8ccbed
2178f2 	44744f
e7d8b0 	124fd5
639ec3 	b2602e
629b15 	963342
85486f 	8fa2f2
d8ffb5 	44b055
18b142 	4527c0
ee00dc 	17b2d7
648d67 	eb5f04
320b1a 	66d4de
2345fe 	eb67bc
0ab6d2 	6e3aae
8993c4 	de5800
b6c505 	47edde
4db066 	aead88
c2af0b 	badb3b
c65fe3 	bb51d9
213876 	1b4f7c
707720 	c2848c
d3c92e 	2e36af
302dbb 	000dc3
d87141 	dc55d5
fb0dd1 	746f49
3cb8f1 	716cd1
06b28d 	0283f1
1f0671 	0d666a
122771 	e0fc24
97fcb9 	e23169
a93d87 	1a220a
3609f4 	2c8051
19e3b5 	4445e4
832f4d 	4228a7
654784 	222bf2
c7e52c 	fa61fb
d28480 	7bed25
34733b 	96adbc
7093d6 	962280
c101fd 	fbadd1
c3e2d9 	eab9ba
8627f1 	dbc2f8
bbce34 	1af4f2
07f745 	636094
ed4159 	51607d
ac6225 	1c62c0
0e813a 	7d4ecb
333122 	d879cb
06584c 	f717fb
24c065 	ac47c7
620fa7 	dd925d
1832c2 	8f3f17
479a75 	c176ed
98c842 	de9f49
32a29e 	63dd43
c25857 	cf7eda
2be523 	689f9f
d14e03 	204eab
7a3d29 	c128fd
0d4ed2 	d6c917
b2f9f9 	95b9a1
cf9b3d 	ce659b
a96b4b 	5411a7
e5c660 	7ef658
a51e5d 	16dd0b
4396b9 	ccb7cd
78e2c6 	656fe1
ad810f 	5cf3ad
34f8fb 	3050c3
aaa2cd 	c51d9f
82762e 	a251eb
1283a2 	78c3a5
0c03bc 	04486f
d14e6d 	4ac4d0
92f752 	93b9a1
88ef77 	3438fc
01c621 	a21b26
74dfa5 	f4f6fe
cac959 	9ca756
4c0a56 	0bc872
4c9fc3 	1df3c2
1d4da2 	319943
73290f 	89fe87
1a8131 	5f19e6
260e83 	720842
80c2ea 	831da0
f93949 	b31438
4ecf9f 	bd136f
174dd2 	aefaa6
8a8b2c 	c25c47
d41303 	fb1514
15c67b 	527443
ba41b0 	794f90
11f831 	7dd8d1
6c62bb 	945520
088aa6 	ff677a
5c3cc1 	32e657
21f84a 	e5cef5
9ed302 	a2d9a3
4299c1 	249193
8449bb 	21940c
e0e024 	ceaa30
010a32 	c2b9ad
a2f243 	2683f6
753a1c 	9142d8
001ac0 	97070a
432bb3 	eabbf5
0c5792 	7b76f4
a4894d 	42460f
22ab8c 	ddaef3
0d922b 	c140de
433426 	9077e9
7c8fac 	7ec03b
7e9fa5 	577489
0fb8a4 	133c44
a260fe 	cadaf0
4a769f 	a0e7b4
f9d60c 	ab1b2d
